"Index";"Information"
"687";"F10.94_Depressive"
"688";"Substance/Medication-Induced Depressive Disorder, Without use (Alcohol)"
"689";"F16.94_Depressive_Phencyclidine"
"690";"Substance/Medication-Induced Depressive Disorder, Without use (Phencyclidine)"
"691";"F16.94_Depressive_OtherHallucinogen"
"692";"Substance/Medication-Induced Depressive Disorder, Without use (Other hallucinogen)"
"693";"F18.94"
"694";"Substance/Medication-Induced Depressive Disorder, Without use (Inhalant)"
"695";"Recurrent stimulant use resulting in a failure to fulfill major role obligations at work, school, or home."
"696";"The stimulant is often taken in larger amounts or over a longer period than was intended."
"697";"A great deal of time is spent in activities necessary to obtain the stimulant, use the stimulant, or recover from its effects."
"698";"Recurrent stimulant use in situations in which it is physically hazardous."
"699";"Craving, or a strong desire or urge to use the stimulant."
"700";"The learning difficulties are not better accounted for by intellectual disabilities, uncorrected visual or auditory acuity, other mental or neurological disorders, psychosocial adversity, lack of proficiency in the language of academic instruction, or inadequate educational instruction."
"701";"Difficulties mastering number sense, number facts, or calculation (e.g., has poor understanding of numbers, their magnitude, and relationships; counts on fingers to add single-digit numbers instead of recalling the math fact as peers do; gets lost in the midst of arithmetic computation and may switch procedures)."
"702";"Difficulties with mathematical reasoning (e.g., has severe difficulty applying mathematical concepts, facts, or procedures to solve quantitative problems)."
"703";"Inaccurate or slow and effortful word reading (e.g., reads single words aloud incorrectly or slowly and hesitantly, frequently guesses words, has difficulty sounding out words)."
"704";"Difficulty understanding the meaning of what is read (e.g., may read text accurately but not understand the sequence, relationships, inferences, or deeper meanings of what is read)."
"705";"Difficulties with spelling (e.g., may add, omit, or substitute vowels or consonants)."
"706";"Difficulties with written expression (e.g., makes multiple grammatical or punctuation errors within sentences; employs poor paragraph organization; written expression of ideas lacks clarity)."
"707";"Difficulties learning and using academic skills, as indicated by the presence of at least one of the following symptoms that have persisted for at least 6 months, despite the provision of interventions that target those difficulties:"
"708";"The affected academic skills are substantially and quantifiably below those expected for the individuals chronological age, and cause significant interference with academic or occupational performance, or with activities of daily living, as confirmed by individually administered standardized achievement measures and comprehensive clinical assessment. For individuals age 17 years and older, a documented history of impairing learning difficulties may be substituted for the standardized assessment."
"709";"The learning difficulties begin during school-age years but may not become fully manifest until the demands for those affected academic skills exceed the individuals limited capacities (e.g., as in timed tests, reading or writing lengthy complex reports for a tight deadline, excessively heavy academic loads)."
"710";"The motor skills deficit in Criterion A significantly and persistently interferes with activities of daily living appropriate to chronological age (e.g., self-care and self-maintenance) and impacts academic/school productivity, prevocational and vocational activities, leisure, and play."
"711";"The acquisition and execution of coordinated motor skills is substantially below that expected given the individuals chronological age and opportunity for skill learning and use. Difficulties are manifested as clumsiness (e.g., dropping or bumping into objects) as well as slowness and inaccuracy of performance of motor skills (e.g., catching an object, using scissors or cutlery, handwriting, riding a bike, or participating in sports)."
"712";"Onset of symptoms is in the early developmental period."
"713";"The motor skills deficits are not better explained by intellectual disability (intellectual developmental disorder) or visual impairment and are not attributable to a neurological condition affecting movement (e.g., cerebral palsy, muscular dystrophy, degenerative disorder)."
"714";"F82"
"715";"Developmental Coordination Disorder"
"716";"Autism Spectrum Disorder"
"717";"F84.0"
"721";"F13.121"
"722";"Mild Delirium, with use disorder (sedative, hypnotic, or anxiolytic)"
"723";"F15.121"
"724";"Mild Delirium, with use disorder (amphetamine (or other stimulant))"
"725";"F14.121"
"726";"Mild Delirium, with use disorder (cocaine)"
"727";"F17.200"
"728";"Tobacco Use Disorder"
"729";"F19.121"
"730";"Mild Delirium, with use disorder (other (or unknown) substance)"
"731";"F10.221"
"732";"Moderate or Severe Delirium, with use disorder (alcohol)"
"733";"F12.221"
"734";"Moderate or Severe Delirium, with use disorder (cannabis)"
"735";"F16.221_Phencyclidine"
"736";"Moderate or Severe Delirium, with use disorder (phencyclidine)"
"737";"F16.221_OtherHallucinogen"
"738";"Moderate or Severe Delirium, with use disorder (other hallucinogen)"
"739";"F18.221"
"740";"Moderate or Severe Delirium, with use disorder (inhalant)"
"741";"F11.221"
"742";"Moderate or Severe Delirium, with use disorder (opioid)"
"743";"F13.221"
"744";"Moderate or Severe Delirium, with use disorder (sedative, hypnotic, or anxiolytic)"
"745";"F15.221"
"746";"Moderate or Severe Delirium, with use disorder (amphetamine (or other stimulant))"
"747";"F14.221"
"748";"Moderate or Severe Delirium, with use disorder (cocaine)"
"749";"F19.221"
"750";"Moderate or Severe Delirium, with use disorder (other (or unknown) substance)"
"751";"F10.921"
"752";"Delirium, without use disorder (alcohol)"
"753";"F12.921"
"754";"Delirium, without use disorder (cannabis)"
"755";"F16.921_Phencyclidine"
"756";"Delirium, without use disorder (phencyclidine)"
"757";"F16.921_OtherHallucinogen"
"758";"Delirium, without use disorder (other hallucinogen)"
"759";"F18.921"
"760";"Delirium, without use disorder (inhalant)"
"761";"F11.921"
"762";"Delirium, without use disorder (opioid)"
"763";"F13.921"
"764";"Delirium, without use disorder (sedative, hypnotic, or anxiolytic)"
"765";"F15.921"
"766";"Delirium, without use disorder (amphetamine (or other stimulant))"
"767";"F14.921"
"768";"Delirium, without use disorder (cocaine)"
"769";"F19.921"
"770";"Delirium, without use disorder (other (or unknown) substance)"
"771";"F15.988_OCD"
"772";"Substance/Medication-Induced Obsessive-Compulsive and Related Disorder, without use (amphetamine (or other stimulant))"
"773";"F14.188_OCD"
"774";"Mild Substance/Medication-Induced Obsessive-Compulsive and Related Disorder, with use (cocaine)"
"775";"F14.288_OCD"
"776";"Moderate or Severe Substance/Medication-Induced Obsessive-Compulsive and Related Disorder, with use (cocaine)"
"777";"F14.988_OCD"
"778";"Moderate or Severe Substance/Medication-Induced Obsessive-Compulsive and Related Disorder, with use (cocaine)"
"779";"F06.31"
"780";"Depressive Disorder Due to Another Medical Condition, with depressive features"
"781";"F06.32"
"782";"Depressive Disorder Due to Another Medical Condition, with major depressivelike episode"
"783";"F06.34"
"784";"Depressive Disorder Due to Another Medical Condition, with mixed features"
"785";"F05"
"786";"Delirium due to Medical Condition/Multiple Etiologies"
"787";"F18.17"
"788";"Mild Substance/Medication-Induced Major or Mild Neurocognitive Disorder, with use disorder (inhalant (major neurocognitive disorder))"
"789";"F18.188"
"790";"Mild Substance/Medication-Induced Major or Mild Neurocognitive Disorder, with use disorder (inhalant (mild neurocognitive disorder))"
"791";"A persistent personality disturbance that represents a change from the individuals previous characteristic personality pattern."
"792";"The disturbance does not occur exclusively during the course of a delirium."
"793";"The disturbance is not better explained by another mental disorder (including another mental disorder due to another medical condition)."
"794";"The disturbance causes clinically significant distress or impairment in social, occupational, or other important areas of functioning."
"795";"There is evidence from the history, physical examination, or laboratory findings that the disturbance is the direct pathophysiological consequence of another medical condition."
"796";"Odd thinking and speech (e.g., vague, circumstantial, metaphorical, overelaborate, or stereotyped)."
"797";"Inappropriate or constricted affect."
"798";"Ideas of reference (excluding delusions of reference)."
"799";"Does not occur exclusively during the course of schizophrenia, a bipolar disorder or depressive disorder with psychotic features, another psychotic disorder, or autism spectrum disorder."
"800";"Excessive social anxiety that does not diminish with familiarity and tends to be associated with paranoid fears rather than negative judgments about self."
"801";"Unusual perceptual experiences, including bodily illusions."
"802";"A pervasive pattern of social and interpersonal deficits marked by acute discomfort with, and reduced capacity for, close relationships as well as by cognitive or perceptual distortions and eccentricities of behavior, beginning by early adulthood and present in a variety of contexts, as indicated by five (or more) of the following:"
"803";"Lack of close friends or confidants other than first-degree relatives."
"804";"Suspiciousness or paranoid ideation."
"805";"Odd beliefs or magical thinking that influences behavior and is inconsistent with subcultural norms (e.g., superstitiousness, belief in clairvoyance, telepathy, or sixth sense; in children and adolescents, bizarre fantasies or preoccupations)."
"806";"Behavior or appearance that is odd, eccentric, or peculiar."
"807";"5"
"808";"Is reluctant to confide in others because of unwarranted fear that the information will be used maliciously against him or her."
"809";"Is preoccupied with unjustified doubts about the loyalty or trustworthiness of friends or associates."
"810";"Persistently bears grudges (i.e., is unforgiving of insults, injuries, or slights)."
"811";"Perceives attacks on his or her character or reputation that are not apparent to others and is quick to react angrily or to counterattack."
"812";"Does not occur exclusively during the course of schizophrenia, a bipolar disorder or depressive disorder with psychotic features, or another psychotic disorder and is not attributable to the physiological effects of another medical condition."
"813";"Has recurrent suspicions, without justification, regarding fidelity of spouse or sexual partner."
"814";"Suspects, without sufficient basis, that others are exploiting, harming, or deceiving him or her."
"815";"A pervasive distrust and suspiciousness of others such that their motives are interpreted as malevolent, beginning by early adulthood and present in a variety of contexts, as indicated by four (or more) of the following:"
"816";"Reads hidden demeaning or threatening meanings into benign remarks or events."
"817";"A pervasive pattern of detachment from social relationships and a restricted range of expression of emotions in interpersonal settings, beginning by early adulthood and present in a variety of contexts, as indicated by four (or more) of the following:"
"818";"Neither desires nor enjoys close relationships, including being part of a family."
"819";"Does not occur exclusively during the course of schizophrenia, a bipolar disorder or depressive disorder with psychotic features, another psychotic disorder, or autism spectrum disorder and is not attributable to the physiological effects of another medical condition."
"820";"Takes pleasure in few, if any, activities."
"821";"Appears indifferent to the praise or criticism of others."
"822";"Shows emotional coldness, detachment, or flattened affectivity."
"823";"Has little, if any, interest in having sexual experiences with another person."
"824";"disorder without use (opioid)"
"825";"F11.94"
"826";"A prominent and persistent disturbance in mood that predominates in the clinical picture and is characterized by depressed mood or markedly diminished interest or pleasure in all, or almost all, activities."
"827";"The disturbance is not better explained by a depressive disorder that is not substance/medication-induced. Such evidence of an independent depressive disorder could include the following:"
"828";"The symptoms preceded the onset of the substance/medication use; the symptoms persist for a substantial period of time (e.g., about 1 month) after the cessation of acute withdrawal or severe intoxication; or there is other evidence suggesting the existence of an independent non-substance/medication-induced depressive disorder (e.g., a history of recurrent non-substance/medication-related episodes)."
"829";"disorder without use (sedative,hypnotic, or anxiolytic)"
"830";"F13.94_depressive"
"831";"disorder without use (amphetamine/other stinulant)"
"832";"F15.94_depressive"
"833";"disorder without use (cocaine)"
"834";"F14.94_depressive"
"835";"disorder without use (other substance)"
"836";"F19.94_depressive"
"837";"catatonic disorder due to another medical condition"
"838";"F06.1_medical_condition"
"839";"There is evidence from the history, physical examination, or laboratory findings that the disturbance is the direct pathophysiological consequence of another medical condition."
"840";"The disturbance is not better explained by another mental disorder (e.g., a manic episode)."
"841";"major neurocognitive disorder due to alzheimers disease"
"842";"G30.9,F02.80,F02.81"
"843";"Evidence of significant cognitive decline from a previous level of performance in one or more cognitive domains (complex attention, executive function, learning and memory, language, perceptual-motor, or social cognition) based on:"
"844";"Concern of the individual, a knowledgeable informant, or the clinician that there has been a significant decline in cognitive function; and"
"845";"A substantial impairment in cognitive performance, preferably documented by standardized neuropsychological testing or, in its absence, another quantified clinical assessment."
"846";"The cognitive deficits interfere with independence in everyday activities (i.e., at a minimum, requiring assistance with complex instrumental activities of daily living such as paying bills or managing medications)."
"847";"The cognitive deficits do not occur exclusively in the context of a delirium"
"848";"The cognitive deficits are not better explained by another mental disorder (e.g., major depressive disorder, schizophrenia)"
"849";"There is insidious onset and gradual progression of impairment in one or more cognitive domains (for major neurocognitive disorder, at least two domains must be impaired)"
"850";"Criteria are met for either probable or possible Alzheimers disease as follows"
"851";"6"
"852";"Evidence of a causative Alzheimers disease genetic mutation from family history or genetic testing"
"853";"All three of the following are present"
"854";"Clear evidence of decline in memory and learning and at least one other cognitive domain (based on detailed history or serial neuropsychological testing)"
"855";"Steadily progressive, gradual decline in cognition, without extended plateaus"
"856";"No evidence of mixed etiology (i.e., absence of other neurodegenerative or cerebrovascular disease, or another neurological, mental, or systemic disease or condition likely contributing to cognitive decline)"
"857";"The disturbance is not better explained by cerebrovascular disease, another neurodegenerative disease, the effects of a substance, or another mental, neurological, or systemic disorder"
"858";"mild neurocognitive disorder due to alzheimers disease"
"859";"G31.84_alzheimer"
"860";"Evidence of modest cognitive decline from a previous level of performance in one or more cognitive domains (complex attention, executive function, learning and memory, language, perceptual-motor, or social cognition) based on"
"861";"A modest impairment in cognitive performance, preferably documented by standardized neuropsychological testing or, in its absence, another quantified clinical assessment"
"862";"The cognitive deficits do not interfere with capacity for independence in everyday activities (i.e., complex instrumental activities of daily living such as paying bills or managing medications are preserved, but greater effort, compensatory strategies, or accommodation may be required)"
"863";"For mild neurocognitive disorder: Probable Alzheimer's disease is diagnosed if there is evidence of a causative Alzheimers disease genetic mutation from either genetic testing or family history"
"864";"major Frontotemporal neurocognitive disorder"
"865";"G31.09, F02.80, F02.81"
"866";"The disturbance has insidious onset and gradual progression"
"867";"Either (1) or (2)"
"868";"Behavioral variant"
"869";"Three or more of the following behavioral symptoms"
"870";"Behavioral disinhibition"
"871";"Apathy or inertia"
"872";"Loss of sympathy or empathy"
"873";"Perseverative, stereotyped or compulsive/ritualistic behavior"
"874";"Hyperorality and dietary changes"
"875";"Prominent decline in social cognition and/or executive abilities"
"876";"Language variant"
"877";"Prominent decline in language ability, in the form of speech production, word finding, object naming, grammar, or word comprehension"
"878";"Relative sparing of learning and memory and perceptual-motor function"
"879";"mild Frontotemporal neurocognitive disorder"
"880";"G31.84_Frontotemporal"
"881";"major neurocognitive disorder with Lewy bodies"
"882";"G31.83, F02.81,F02.80"
"883";"The disorder has an insidious onset and gradual progression"
"884";"The disorder meets a combination of core diagnostic features and suggestive diagnostic features for either probable or possible neurocognitive disorder with Lewy bodies"
"885";"<=90"
"887";"Fluctuating cognition with pronounced variations in attention and alertness"
"888";"Recurrent visual hallucinations that are well formed and detailed"
"889";"Spontaneous features of parkinsonism, with onset subsequent to the development of cognitive decline"
"891";"Meets criteria for rapid eye movement sleep behavior disorder"
"892";"Severe neuroleptic sensitivity"
"893";"mild neurocognitive disorder with Lewy bodies"
"894";"G31.84_Lewy bodies"
"895";"Concern of the individual, a knowledgeable informant, or the clinician that there has been a mild decline in cognitive function; and"
"897";"major Vascular neurocognitive disorder"
"898";"F01.50, F01.51"
"899";"The clinical features are consistent with a vascular etiology, as suggested by either of the following"
"900";"Onset of the cognitive deficits is temporally related to one or more cerebrovascular events"
"901";"Evidence for decline is prominent in complex attention (including processing speed) and frontal-executive function"
"902";"There is evidence of the presence of cerebrovascular disease from history, physical examination, and/or neuroimaging considered sufficient to account for the neurocognitive deficits"
"903";"The symptoms are not better explained by another brain disease or systemic disorder"
"904";"mild Vascular neurocognitive disorder"
"905";"G31.84_Vascular"
"906";"major neurocognitive disorder due to traumatic brain injury"
"907";"S06.2X9S,F02.80,F02.81"
"908";"There is evidence of a traumatic brain injurythat is, an impact to the head or other mechanisms of rapid movement or displacement of the brain within the skull, with one or more of the following"
"909";"Loss of consciousness"
"910";"Posttraumatic amnesia"
"911";"Disorientation and confusion"
"912";"Neurological signs (e.g., neuroimaging demonstrating injury; a new onset of seizures; a marked worsening of a preexisting seizure disorder; visual field cuts; anosmia; hemiparesis)"
"913";"The neurocognitive disorder presents immediately after the occurrence of the traumatic brain injury or immediately after recovery of consciousness and persists past the acute post-injury period"
"914";"mild neurocognitive disorder due to traumatic brain injury"
"915";"G31.84_traumatic brain injury"
"916";"major neurocognitive disorder due to HIV infection"
"917";"B20, F02.80, F02.81"
"918";"There is documented infection with human immunodeficiency virus (HIV)"
"919";"The neurocognitive disorder is not better explained by non-HIV conditions, including secondary brain diseases such as progressive multifocal leukoencephalopathy or cryptococcal meningitis"
"920";"The neurocognitive disorder is not attributable to another medical condition and is not better explained by a mental disorder"
"921";"mild neurocognitive disorder due to HIV infection"
"922";"G31.84_HIV infection"
"923";"major neurocognitive disorder due to Prion disease"
"924";"A81.9, F02.80,F02.81"
"925";"There is insidious onset, and rapid progression of impairment is common"
"926";"There are motor features of prion disease, such as myoclonus or ataxia, or biomarker evidence"
"927";"The neurocognitive disorder is not attributable to another medical condition and is not better explained by another mental disorder"
"928";"mild neurocognitive disorder due to Prion disease"
"929";"G31.84_Prion"
"930";"major neurocognitive disorder due to Parkinson's disease"
"931";"G20, F02.80,F02.81"
"932";"The disturbance occurs in the setting of established Parkinsons disease"
"933";"mild neurocognitive disorder due to Parkinson's disease"
"934";"G31.84_Parkinson"
"935";"major neurocognitive disorder due to Huntington's disease"
"936";"G10, F02.80, F02.81"
"937";"There is clinically established Huntingtons disease, or risk for Huntingtons disease based on family history or genetic testing"
"938";"mild neurocognitive disorder due to Huntington's disease"
"939";"G31.84_Huntington"
"940";"major neurocognitive disorder due to another medical condition"
"941";"(other medical condition), F02.80, F02.81"
"942";"There is evidence from the history, physical examination, or laboratory findings that the neurocognitive disorder is the pathophysiological consequence of another medical condition"
"943";"The cognitive deficits are not better explained by another mental disorder or another specific neurocognitive disorder (e.g., Alzheimers disease, HIV infection)"
"944";"mild neurocognitive disorder due to another medical condition"
"945";"G31.84_other medical condition"
"946";"major neurocognitive disorder due to multiple etiologies"
"947";"(etiological medical conditions),F02.81, F02.80"
"948";"There is evidence from the history, physical examination, or laboratory findings that the neurocognitive disorder is the pathophysiological consequence of more than one etiological process, excluding substances (e.g., neurocognitive disorder due to Alzheimers disease with subsequent development of vascular neurocognitive disorder)"
"949";"The cognitive deficits are not better explained by another mental disorder and do not occur exclusively during the course of a delirium"
"950";"mild neurocognitive disorder due to multiple etiologies"
"951";"G31.84_etiological medical conditions"
"952";"unspecified neurocognitive disorder"
"953";"R41.9"
"954";"This category applies to presentations in which symptoms characteristic of a neurocognitive disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for any of the disorders in the neurocognitive disorders diagnostic class. The unspecified neurocognitive disorder category is used in situations in which the precise etiology cannot be determined with sufficient certainty to make an etiological attribution."
"955";"Almost always chooses solitary activities."
"956";"Lacks close friends or confidants other than first-degree relatives."
"957";"Consistent irresponsibility, as indicated by repeated failure to sustain consistent work behavior or honor financial obligations."
"958";"A pervasive pattern of disregard for and violation of the rights of others, occurring since age 15 years, as indicated by three (or more) of the following:"
"959";"Impulsivity or failure to plan ahead."
"960";"Reckless disregard for safety of self or others."
"961";"The occurrence of antisocial behavior is not exclusively during the course of schizophrenia or bipolar disorder."
"962";"Failure to conform to social norms with respect to lawful behaviors, as indicated by repeatedly performing acts that are grounds for arrest."
"963";"Lack of remorse, as indicated by being indifferent to or rationalizing having hurt, mistreated, or stolen from another."
"964";"Irritability and aggressiveness, as indicated by repeated physical fights or assaults."
"965";"Deceitfulness, as indicated by repeated lying, use of aliases, or conning others for personal profit or pleasure."
"966";"There is evidence of conduct disorder."
"967";"A prominent and persistent disturbance in mood that predominates in the clinical picture and is characterized by elevated, expansive, or irritable mood, with or without depressed mood, or markedly diminished interest or pleasure in all, or almost all, activities"
"968";"The disturbance is not better explained by a bipolar or related disorder that is not substance/medication-induced. Such evidence of an independent bipolar or related disorder could include the following:"
"969";"The symptoms precede the onset of the substance/medication use; the symptoms persist for a substantial period of time (e.g., about 1 month) after the cessation of acute withdrawal or severe intoxication; or there is other evidence suggesting the existence of an independent non-substance/medication-induced bipolar and related disorder (e.g., a history of recurrent non-substance/medication-related episodes)."
"970";"Tachycardia"
"971";"The signs or symptoms are not attributable to another medical condition and are not better explained by another mental disorder, including intoxication with another substance"
"976";"Has deliberately destroyed others property (other than by fire setting)"
"977";"Has broken into someone elses house, building, or car"
"978";"Often lies to obtain goods or favors or to avoid obligations (i.e., cons others)"
"979";"Recent use of cannabis"
"980";"Clinically significant problematic behavioral or psychological changes (e.g., impaired motor coordination, euphoria, anxiety, sensation of slowed time, impaired judgment, social withdrawal) that developed during, or shortly after, cannabis use"
"981";"Two (or more) of the following signs or symptoms developing within 2 hours of cannabis use"
"982";"Conjunctival injection"
"983";"Increased appetite"
"984";"Dry mouth"
"987";"F10.159"
"988";"Substance/Medication-Induced Psychotic Disorder with use (Alcohol mild disorder)"
"989";"F10.259"
"990";"Substance/Medication-Induced Psychotic Disorder with use (Alcohol moderate/severe disorder)"
"991";"F10.959"
"992";"Substance/Medication-Induced Psychotic Disorder without use (Alcohol)"
"993";"F12.159"
"994";"Substance/Medication-Induced Psychotic Disorder with use (Cannabis mild disorder)"
"995";"F12.259"
"996";"Substance/Medication-Induced Psychotic Disorder with use (Cannabis moderate/severe disorder)"
"997";"F12.959"
"998";"Substance/Medication-Induced Psychotic Disorder without use (Cannabis)"
"999";"F13.159"
"1000";"Substance/Medication-Induced Psychotic Disorder with use (Sedative,hypnotic, or anxiolytic mild disorder)"
"1001";"F13.259"
"1002";"Substance/Medication-Induced Psychotic Disorder with use (Sedative,hypnotic, or anxiolytic moderate/severe disorder)"
"1003";"F13.959"
"1004";"Substance/Medication-Induced Psychotic Disorder without use (Sedative,hypnotic, or anxiolytic)"
"1005";"Individuals show at least one symptom characteristic of conduct disorder prior to age 10 years"
"1006";"Individuals show no symptom characteristic of conduct disorder prior to age 10 years"
"1007";"Criteria for a diagnosis of conduct disorder are met, but there is not enough information available to determine whether the onset of the first symptom was before or after age 10 years"
"1008";"Impulsivity in at least two areas that are potentially self-damaging (e.g., spending, sex, substance abuse, reckless driving, binge eating). "
"1009";"Chronic feelings of emptiness."
"1010";"Transient, stress-related paranoid ideation or severe dissociative symptoms."
"1011";"Recurrent suicidal behavior, gestures, or threats, or self-mutilating behavior."
"1012";"A pattern of unstable and intense interpersonal relationships characterized by alternating between extremes of idealization and devaluation."
"1013";"Frantic efforts to avoid real or imagined abandonment. (Note: Do not include suicidal or self-mutilating behavior covered in Criterion 5.)"
"1014";"Inappropriate, intense anger or difficulty controlling anger (e.g., frequent displays of temper, constant anger, recurrent physical fights)."
"1015";"Affective instability due to a marked reactivity of mood (e.g., intense episodic dysphoria, irritability, or anxiety usually lasting a few hours and only rarely more than a few days)."
"1016";"Identity disturbance: markedly and persistently unstable self-image or sense of self."
"1017";"A pervasive pattern of instability of interpersonal relationships, self-image, and affects, and marked impulsivity, beginning by early adulthood and present in a variety of contexts, as indicated by five (or more) of the following:"
"1018";"Considers relationships to be more intimate than they actually are."
"1019";"Interaction with others is often characterized by inappropriate sexually seductive or provocative behavior."
"1020";"Is suggestible (i.e., easily influenced by others or circumstances)."
"1021";"Is uncomfortable in situations in which he or she is not the center of attention."
"1022";"Has a style of speech that is excessively impressionistic and lacking in detail."
"1023";"Displays rapidly shifting and shallow expression of emotions."
"1024";"Shows self-dramatization, theatricality, and exaggerated expression of emotion."
"1025";"Consistently uses physical appearance to draw attention to self."
"1026";"A pervasive pattern of excessive emotionality and attention seeking, beginning by early adulthood and present in a variety of contexts, as indicated by five (or more) of the following:"
"1027";"Is excessively devoted to work and productivity to the exclusion of leisure activities and friendships (not accounted for by obvious economic necessity)."
"1028";"Adopts a miserly spending style toward both self and others; money is viewed as something to be hoarded for future catastrophes."
"1029";"Is unable to discard worn-out or worthless objects even when they have no sentimental value."
"1030";"Is reluctant to delegate tasks or to work with others unless they submit to exactly his or her way of doing things."
"1031";"Is preoccupied with details, rules, lists, order, organization, or schedules to the extent that the major point of the activity is lost."
"1032";"Shows perfectionism that interferes with task completion (e.g., is unable to complete a project because his or her own overly strict standards are not met)."
"1033";"Is overconscientious, scrupulous, and inflexible about matters of morality, ethics, or values (not accounted for by cultural or religious identification)."
"1034";"Shows rigidity and stubbornness."
"1035";"A pervasive pattern of preoccupation with orderliness, perfectionism, and mental and interpersonal control, at the expense of flexibility, openness, and efficiency, beginning by early adulthood and present in a variety of contexts, as indicated by four (or more) of the following:"
"1036";"Is unusually reluctant to take personal risks or to engage in any new activities because they may prove embarrassing."
"1037";"Is preoccupied with being criticized or rejected in social situations."
"1038";"Views self as socially inept, personally unappealing, or inferior to others."
"1039";"Is inhibited in new interpersonal situations because of feelings of inadequacy."
"1040";"Is unwilling to get involved with people unless certain of being liked."
"1041";"Avoids occupational activities that involve significant interpersonal contact because of fears of criticism, disapproval, or rejection."
"1042";"Shows restraint within intimate relationships because of the fear of being shamed or ridiculed."
"1043";"A pervasive pattern of social inhibition, feelings of inadequacy, and hypersensitivity to negative evaluation, beginning by early adulthood and present in a variety of contexts, as indicated by four (or more) of the following:"
"1044";"A pervasive and excessive need to be taken care of that leads to submissive and clinging behavior and fears of separation, beginning by early adulthood and present in a variety of contexts, as indicated by five (or more) of the following:"
"1045";"Has difficulty making everyday decisions without an excessive amount of advice and reassurance from others."
"1046";"Feels uncomfortable or helpless when alone because of exaggerated fears of being unable to care for himself or herself."
"1047";"Has difficulty expressing disagreement with others because of fear of loss of support or approval. (Note: Do not include realistic fears of retribution.)"
"1048";"Has difficulty initiating projects or doing things on his or her own (because of a lack of self-confidence in judgment or abilities rather than a lack of motivation or energy)."
"1049";"Is unrealistically preoccupied with fears of being left to take care of himself or herself."
"1050";"Urgently seeks another relationship as a source of care and support when a close relationship ends."
"1051";"Needs others to assume responsibility for most major areas of his or her life."
"1052";"Goes to excessive lengths to obtain nurturance and support from others, to the point of volunteering to do things that are unpleasant."
"1053";"A pervasive pattern of grandiosity (in fantasy or behavior), need for admiration, and lack of empathy, beginning by early adulthood and present in a variety of contexts, as indicated by five (or more) of the following:"
"1054";"Is preoccupied with fantasies of unlimited success, power, brilliance, beauty, or ideal love."
"1055";"Is often envious of others or believes that others are envious of him or her."
"1056";"Is interpersonally exploitative (i.e., takes advantage of others to achieve his or her own ends)."
"1057";"Believes that he or she is special and unique and can only be understood by, or should associate with, other special or high-status people (or institutions)."
"1058";"Requires excessive admiration."
"1059";"Has a grandiose sense of self-importance (e.g., exaggerates achievements and talents, expects to be recognized as superior without commensurate achievements)."
"1060";"Shows arrogant, haughty behaviors or attitudes."
"1061";"Has a sense of entitlement (i.e., unreasonable expectations of especially favorable treatment or automatic compliance with his or her expectations)."
"1062";"Lacks empathy: is unwilling to recognize or identify with the feelings and needs of others."
"1063";"This category applies to presentations in which symptoms characteristic of a personality disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for any of the disorders in the personality disorders diagnostic class. The other specified personality disorder category is used in situations in which the clinician chooses to communicate the specific reason that the presentation does not meet the criteria for any specific personality disorder. This is done by recording other specified personality disorder followed by the specific reason (e.g., mixed personality features)."
"1064";"This category applies to presentations in which symptoms characteristic of a personality disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for any of the disorders in the personality disorders diagnostic class. The unspecified personality disorder category is used in situations in which the clinician chooses not to specify the reason that the criteria are not met for a specific personality disorder, and includes presentations in which there is insufficient information to make a more specific diagnosis."
"1065";"Over a period of at least 6 months, recurrent and intense sexual arousal from either the use of nonliving objects or a highly specific focus on nongenital body part(s), as manifested by fantasies, urges, or behaviors."
"1066";"The fantasies, sexual urges, or behaviors cause clinically significant distress or impairment in social, occupational, or other important areas of functioning."
"1067";"The fetish objects are not limited to articles of clothing used in cross-dressing (as in transvestic disorder) or devices specifically designed for the purpose of tactile genital stimulation (e.g., vibrator)."
"1068";"Over a period of at least 6 months, recurrent and intense sexual arousal from cross-dressing, as manifested by fantasies, urges, or behaviors."
"1069";"Diuresis."
"1070";"Over a period of at least 6 months, recurrent and intense sexual arousal from the exposure of ones genitals to an unsuspecting person, as manifested by fantasies, urges, or behaviors."
"1071";"The individual has acted on these sexual urges with a nonconsenting person, or the sexual urges or fantasies cause clinically significant distress or impairment in social, occupational, or other important areas of functioning."
"1072";"Over a period of at least 6 months, recurrent and intense sexual arousal from observing an unsuspecting person who is naked, in the process of disrobing, or engaging in sexual activity, as manifested by fantasies, urges, or behaviors."
"1075";"The individual is at least age 16 years and at least 5 years older than the child or children in Criterion A."
"1076";"Over a period of at least 6 months, recurrent, intense sexually arousing fantasies, sexual urges, or behaviors involving sexual activity with a prepubescent child or children (generally age 13 years or younger)."
"1077";"The individual has acted on these sexual urges, or the sexual urges or fantasies cause marked distress or interpersonal difficulty."
"1078";"Over a period of at least 6 months, recurrent and intense sexual arousal from the act of being humiliated, beaten, bound, or otherwise made to suffer, as manifested by fantasies, urges, or behaviors."
